Iteration,Loss
0,8.444361200332642
1,3.847604923248291
2,2.4387979912757873
3,1.7917785787582396
4,1.4115407538414002
5,1.2201998543739319
6,1.0117406451702118
7,0.8591928851604461
8,0.8489586514234543
9,0.7927200692892075
10,0.6357576793432236
11,0.6405972355604171
12,0.5797628706693649
13,0.5417385324835777
14,0.49968817591667175
15,0.4122890684008598
16,0.4774627363681793
17,0.46186654895544055
18,0.3323320734500885
19,0.40578645437955857
20,0.3553046876192093
21,0.2780543252825737
22,0.28725811958312986
23,0.3246103847026825
24,0.2814501929283142
25,0.33889584854245186
26,0.3386003476381302
27,0.299535249620676
28,0.3658004683256149
29,0.3555216345191002
30,0.4041898953914642
31,0.37820246756076814
32,0.32651116207242015
33,0.25378713212907317
34,0.26359409928321836
35,0.26085451669991017
36,0.2505841501057148
37,0.2414843136072159
38,0.29463321283459665
39,0.2668211366981268
40,0.33519664242863656
41,0.31023051634430887
42,0.2814706878364086
43,0.2788663555681705
44,0.20390024863183498
45,0.23967134147882463
46,0.27624954231083393
47,0.21214916571974754
48,0.26712183400988576
49,0.2646129228174686
50,0.29087224006652834
51,0.16341506756842136
52,0.23547770589590072
53,0.25814330115914347
54,0.19748152866959573
55,0.1953510685265064
56,0.259659803211689
57,0.15100061178207397
58,0.14039394170045852
59,0.19189279437065124
